[go_explore_solve] progress source: PPU scroll odometer (axis x)
[seed] RESUMED archive from runs/ng_odo_v2: 8329 cells, 8329 traces, max_area=0, max_sect=0, c_local=739
[seed] rooted at roms/Ninja Gaiden (USA)_start.state.bin wd=() lives=0 area=0; archive={"cells": 8329, "frontier": 8105, "best_score": 5838, "records": 1, "new_cells": 1, "improvements": 0}
[go_explore_solve] {"t": "2026-08-23T22:27:10", "elapsed_s": 1860, "cells": 25944, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 2965040, "sps": 1594, "stall_flat_windows": 0, "c_local": 765, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:28:10", "elapsed_s": 1920, "cells": 26396, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 3063210, "sps": 1595, "stall_flat_windows": 0, "c_local": 766, "c_local_band": 10, "c_local_delta": 1, "c_local_band_delta": 0, "c_local_elasticity": 0.0756}
[go_explore_solve] {"t": "2026-08-23T22:29:10", "elapsed_s": 1980, "cells": 26751, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 3161720, "sps": 1597, "stall_flat_windows": 0, "c_local": 766, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:30:10", "elapsed_s": 2040, "cells": 27120, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 3261340, "sps": 1599, "stall_flat_windows": 0, "c_local": 767, "c_local_band": 10, "c_local_delta": 1, "c_local_band_delta": 0, "c_local_elasticity": 0.0952}
[go_explore_solve] {"t": "2026-08-23T22:31:10", "elapsed_s": 2100, "cells": 27588, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 3361230, "sps": 1601, "stall_flat_windows": 0, "c_local": 769, "c_local_band": 10, "c_local_delta": 2, "c_local_band_delta": 0, "c_local_elasticity": 0.1522}
[go_explore_solve] {"t": "2026-08-23T22:32:10", "elapsed_s": 2160, "cells": 28057, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 3461950, "sps": 1603, "stall_flat_windows": 0, "c_local": 771, "c_local_band": 10, "c_local_delta": 2, "c_local_band_delta": 0, "c_local_elasticity": 0.1541}
[go_explore_solve] {"t": "2026-08-23T22:33:10", "elapsed_s": 2220, "cells": 28414, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 3563670, "sps": 1605, "stall_flat_windows": 0, "c_local": 773, "c_local_band": 10, "c_local_delta": 2, "c_local_band_delta": 0, "c_local_elasticity": 0.2049}
[go_explore_solve] {"t": "2026-08-23T22:34:10", "elapsed_s": 2280, "cells": 28815, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 3665260, "sps": 1607, "stall_flat_windows": 0, "c_local": 773, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:35:10", "elapsed_s": 2340, "cells": 29161, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 3762320, "sps": 1608, "stall_flat_windows": 0, "c_local": 773, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:36:10", "elapsed_s": 2400, "cells": 29521, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 3858190, "sps": 1607, "stall_flat_windows": 0, "c_local": 773, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:37:10", "elapsed_s": 2460, "cells": 29872, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 3952990, "sps": 1607, "stall_flat_windows": 0, "c_local": 773, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:38:10", "elapsed_s": 2520, "cells": 30262, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 4046660, "sps": 1606, "stall_flat_windows": 0, "c_local": 773, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:39:10", "elapsed_s": 2580, "cells": 30579, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 4139370, "sps": 1604, "stall_flat_windows": 0, "c_local": 773, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:40:10", "elapsed_s": 2640, "cells": 30936, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 4231560, "sps": 1603, "stall_flat_windows": 0, "c_local": 773, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:41:10", "elapsed_s": 2700, "cells": 31303, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 4321030, "sps": 1600, "stall_flat_windows": 0, "c_local": 773, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:42:10", "elapsed_s": 2760, "cells": 31646, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 4408700, "sps": 1597, "stall_flat_windows": 0, "c_local": 773, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:43:10", "elapsed_s": 2820, "cells": 31950, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 4500090, "sps": 1596, "stall_flat_windows": 0, "c_local": 773, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
