[go_explore_solve] progress source: PPU scroll odometer (axis x)
[seed] rooted at roms/Ninja Gaiden (USA)_start.state.bin wd=() lives=0 area=0; archive={"cells": 1, "frontier": 1, "best_score": 0, "records": 1, "new_cells": 1, "improvements": 0}
[go_explore_solve] {"t": "2026-08-23T10:21:02", "elapsed_s": 1620, "cells": 13791, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1585912, "sps": 979, "stall_flat_windows": 0, "c_local": 749, "c_local_band": 25, "c_local_delta": 2, "c_local_band_delta": 0, "c_local_elasticity": 0.1347}
[go_explore_solve] {"t": "2026-08-23T10:22:02", "elapsed_s": 1680, "cells": 14058, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1641376, "sps": 977, "stall_flat_windows": 0, "c_local": 749, "c_local_band": 25, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T10:23:02", "elapsed_s": 1740, "cells": 14378, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1699104, "sps": 976, "stall_flat_windows": 0, "c_local": 751, "c_local_band": 25, "c_local_delta": 2, "c_local_band_delta": 0, "c_local_elasticity": 0.1185}
[go_explore_solve] {"t": "2026-08-23T10:24:02", "elapsed_s": 1800, "cells": 14638, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1758960, "sps": 977, "stall_flat_windows": 0, "c_local": 751, "c_local_band": 25, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T10:25:02", "elapsed_s": 1860, "cells": 14883, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1818712, "sps": 978, "stall_flat_windows": 0, "c_local": 751, "c_local_band": 25, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T10:26:02", "elapsed_s": 1920, "cells": 15140, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1878432, "sps": 978, "stall_flat_windows": 0, "c_local": 753, "c_local_band": 25, "c_local_delta": 2, "c_local_band_delta": 0, "c_local_elasticity": 0.1553}
[go_explore_solve] {"t": "2026-08-23T10:27:02", "elapsed_s": 1980, "cells": 15350, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1938384, "sps": 979, "stall_flat_windows": 0, "c_local": 756, "c_local_band": 25, "c_local_delta": 3, "c_local_band_delta": 0, "c_local_elasticity": 0.2886}
[go_explore_solve] {"t": "2026-08-23T10:28:02", "elapsed_s": 2040, "cells": 15591, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 1993880, "sps": 977, "stall_flat_windows": 0, "c_local": 756, "c_local_band": 25, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T10:29:02", "elapsed_s": 2100, "cells": 15788, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 2047792, "sps": 975, "stall_flat_windows": 0, "c_local": 758, "c_local_band": 25, "c_local_delta": 2, "c_local_band_delta": 0, "c_local_elasticity": 0.2104}
[go_explore_solve] {"t": "2026-08-23T10:30:02", "elapsed_s": 2160, "cells": 15998, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 2103440, "sps": 974, "stall_flat_windows": 0, "c_local": 758, "c_local_band": 25, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T10:31:02", "elapsed_s": 2220, "cells": 16255, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 2163232, "sps": 974, "stall_flat_windows": 0, "c_local": 758, "c_local_band": 25, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T10:32:02", "elapsed_s": 2280, "cells": 16549, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 2223336, "sps": 975, "stall_flat_windows": 0, "c_local": 760, "c_local_band": 25, "c_local_delta": 2, "c_local_band_delta": 0, "c_local_elasticity": 0.147}
[go_explore_solve] {"t": "2026-08-23T10:33:02", "elapsed_s": 2340, "cells": 16866, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 2284120, "sps": 976, "stall_flat_windows": 0, "c_local": 762, "c_local_band": 25, "c_local_delta": 2, "c_local_band_delta": 0, "c_local_elasticity": 0.1385}
[go_explore_solve] {"t": "2026-08-23T10:34:02", "elapsed_s": 2400, "cells": 17112, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 2342448, "sps": 976, "stall_flat_windows": 0, "c_local": 762, "c_local_band": 25, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T10:35:02", "elapsed_s": 2460, "cells": 17312, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 2397712, "sps": 975, "stall_flat_windows": 0, "c_local": 762, "c_local_band": 25, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T10:36:02", "elapsed_s": 2520, "cells": 17504, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 2452712, "sps": 973, "stall_flat_windows": 0, "c_local": 762, "c_local_band": 25, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T10:37:02", "elapsed_s": 2580, "cells": 17723, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 2507808, "sps": 972, "stall_flat_windows": 0, "c_local": 763, "c_local_band": 25, "c_local_delta": 1, "c_local_band_delta": 0, "c_local_elasticity": 0.1055}
[go_explore_solve] {"t": "2026-08-23T10:38:02", "elapsed_s": 2640, "cells": 18030, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 2567384, "sps": 972, "stall_flat_windows": 0, "c_local": 763, "c_local_band": 25, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T10:39:02", "elapsed_s": 2700, "cells": 18396, "max_area": 0, "max_gx_in_max_area": 5888, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 2627064, "sps": 973, "stall_flat_windows": 0, "c_local": 763, "c_local_band": 25, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] done: {"cells": 18396, "frontier": 18092, "best_score": 5888, "records": 2627065, "new_cells": 18396, "improvements": 45762}, 0 solutions -> runs/ng_odo_deep
