run,iter,tau,tau_max,trailing_succ,trailing_n,trailing_rate,at_entrance,entrance_succ_cum,entrance_n_cum,entrance_rate_cum,truncated_cum
v28_seed2,22,144,784,3,30,0.1,False,0,228,0.0,1060
v28_seed2,23,104,784,2,30,0.07,False,0,239,0.0,1114
v28_seed2,24,64,784,2,30,0.07,False,0,245,0.0,1167
v28_seed2,25,24,784,0,30,0.0,False,0,266,0.0,1218
v28_seed2,26,24,784,2,30,0.07,False,1,282,0.004,1274
v28_seed2,27,24,784,1,30,0.03,False,1,292,0.003,1331
v28_seed2,28,24,784,2,30,0.07,False,3,310,0.01,1385
v28_seed2,29,0,784,4,30,0.13,True,6,387,0.016,1435
v28_seed2,30,0,784,3,30,0.1,True,13,497,0.026,1482
v28_seed2,31,0,784,3,30,0.1,True,24,606,0.04,1525
v28_seed2,32,0,784,7,30,0.23,True,32,702,0.046,1576
v28_seed2,33,0,784,3,30,0.1,True,51,825,0.062,1617
v28_seed2,34,0,784,4,30,0.13,True,59,927,0.064,1665
v28_seed2,35,0,784,6,30,0.2,True,69,998,0.069,1712
v28_seed2,36,0,784,6,30,0.2,True,87,1097,0.079,1749
v28_seed2,37,0,784,2,30,0.07,True,106,1175,0.09,1787
v28_seed2,38,0,784,9,30,0.3,True,123,1258,0.098,1826
v28_seed2,39,0,784,4,30,0.13,True,139,1342,0.104,1869
v28_seed2,40,0,784,8,30,0.27,True,154,1418,0.109,1914
v28_seed2,41,0,784,9,30,0.3,True,181,1496,0.121,1954
v28_seed2,42,0,784,11,30,0.37,True,198,1561,0.127,2000
v28_seed2,43,0,784,10,30,0.33,True,217,1635,0.133,2043
v28_seed2,44,0,784,11,30,0.37,True,240,1707,0.141,2078
v28_seed2,45,0,784,11,30,0.37,True,261,1766,0.148,2117
v28_seed2,46,0,784,17,30,0.57,True,283,1818,0.156,2154
v28_seed2,47,0,784,18,30,0.6,True,316,1873,0.169,2198
v28_seed2,48,0,784,12,30,0.4,True,342,1935,0.177,2248
v28_seed2,49,0,784,19,30,0.63,True,367,1989,0.185,2287
v28_seed2,50,0,784,10,30,0.33,True,397,2050,0.194,2328
v28_seed2,51,0,784,18,30,0.6,True,420,2112,0.199,2367
v28_seed2,52,0,784,12,30,0.4,True,448,2175,0.206,2405
v28_seed2,53,0,784,18,30,0.6,True,482,2234,0.216,2442
v28_seed2,54,0,784,17,30,0.57,True,507,2285,0.222,2483
v28_seed2,55,0,784,18,30,0.6,True,532,2334,0.228,2523
v28_seed2,56,0,784,15,30,0.5,True,563,2395,0.235,2558
v28_seed2,57,0,784,22,30,0.73,True,591,2447,0.242,2602
v28_seed2,58,0,784,17,30,0.57,True,615,2501,0.246,2644
v28_seed2,59,0,784,26,30,0.87,True,641,2549,0.251,2687
v28_seed2,60,0,784,14,30,0.47,True,654,2596,0.252,2738
v28_seed2,61,0,784,19,30,0.63,True,690,2650,0.26,2769
v28_seed2,62,0,784,16,30,0.53,True,717,2705,0.265,2811
v28_seed2,63,0,784,20,30,0.67,True,748,2762,0.271,2848
v28_seed2,64,0,784,16,30,0.53,True,770,2808,0.274,2893
v28_seed2,65,0,784,19,30,0.63,True,803,2853,0.281,2929
v28_seed2,66,0,784,13,30,0.43,True,824,2891,0.285,2970
v28_seed2,67,0,784,12,30,0.4,True,851,2951,0.288,2998
v28_seed2,68,0,784,19,30,0.63,True,876,2995,0.292,3032
v28_seed2,69,0,784,13,30,0.43,True,907,3040,0.298,3066
v28_seed2,70,0,784,8,30,0.27,True,934,3095,0.302,3099
v28_seed2,71,0,784,6,30,0.2,True,962,3150,0.305,3123
v28_seed2,72,0,784,9,30,0.3,True,989,3223,0.307,3147
v28_seed2,73,0,784,12,30,0.4,True,1021,3289,0.31,3175
v28_seed2,74,0,784,11,30,0.37,True,1054,3345,0.315,3201
v28_seed2,75,0,784,14,30,0.47,True,1082,3392,0.319,3223
v28_seed2,76,0,784,4,30,0.13,True,1112,3444,0.323,3247
v28_seed2,77,0,784,11,30,0.37,True,1135,3500,0.324,3265
v28_seed2,78,0,784,5,30,0.17,True,1160,3556,0.326,3285
v28_seed2,79,0,784,9,30,0.3,True,1196,3629,0.33,3300
v28_seed2,80,0,784,13,30,0.43,True,1221,3671,0.333,3330
