run,seed,generation,reward_forward,reward_completion,reward_time_penalty,ppo_entropy,success_rate,vanilla_ppo_clears,vanilla_ppo_in_progress,avg_fitness,best_fitness,episodes,mag_total,share_forward,share_completion,share_time_penalty,net_logged_reward,peak_iter
v27,seed0,53,1683.9166666666667,11.666666666666666,-2.823333333333304,0.7737111449241638,0.44761904761904764,47,60,2370.4834222702752,4527.6884765625,105,1698.4066666666668,0.9914684743740212,0.0068691832737349905,0.0016623423522438504,1692.7600000000002,60
v27,seed0,54,2374.383333333333,25.833333333333332,-4.644999999999938,0.7565306425094604,0.5263157894736842,50,60,2102.748443282278,4520.2041015625,95,2404.8616666666667,0.987326367351691,0.010742128618624633,0.0019315040296842875,2395.5716666666667,60
v27,seed0,55,1729.9833333333333,12.5,-2.9704999999999675,0.6812006831169128,0.2867132867132867,41,60,1828.2343913258374,4314.068359375,143,1745.4538333333333,0.9911366890922256,0.007161461255110061,0.0017018496526643363,1739.5128333333334,60
v27,seed0,56,1988.3333333333333,18.333333333333332,-3.5968333333332887,0.6443829536437988,0.39166666666666666,47,60,2006.6262702941895,4366.28369140625,120,2010.2634999999998,0.9890908994434479,0.00911986579537127,0.0017892347611809542,2003.0698333333332,60
v27,seed0,57,1979.7333333333333,17.5,-3.436999999999958,0.6664793491363525,0.40869565217391307,47,60,2085.8310737941574,4529.31005859375,115,2000.6703333333332,0.9895350075166474,0.008747068274283403,0.0017179242090692394,1993.7963333333335,60
v27,seed0,58,1924.0333333333333,15.0,-3.1539999999999666,0.7020666003227234,0.43636363636363634,48,60,2218.405033042214,4403.8134765625,110,1942.1873333333333,0.9906528069211312,0.007723250863888516,0.0016239422149802749,1935.8793333333333,60
v27,seed0,59,1995.2166666666667,15.833333333333334,-3.2463333333332978,0.6748650670051575,0.34146341463414637,42,60,2129.862714441811,4529.6376953125,123,2014.2963333333332,0.9905278749948908,0.007860478655159809,0.001611646349949485,2007.8036666666667,60
v27,seed0,60,1957.4666666666667,20.0,-3.337166666666628,0.6135563254356384,0.5145631067961165,53,60,2266.9477256108257,4527.3955078125,103,1980.8038333333334,0.9882183352667515,0.010096910993121226,0.0016847537401271998,1974.1295,60
v27,seed0,61,1920.8833333333334,20.833333333333332,-3.4368333333332917,0.6579350233078003,0.4954128440366973,54,60,2124.133943890213,4451.2861328125,109,1945.1535,0.9875227499183656,0.01071038009768038,0.0017668699839541156,1938.2798333333335,60
v27,seed0,62,2076.25,19.166666666666668,-3.454666666666628,0.5912057161331177,0.4016393442622951,49,60,2054.3574692773036,4524.9287109375,122,2098.871333333333,0.9892221438379423,0.00913189215664165,0.0016459640054162263,2091.962,60
v27,seed0,63,1770.8333333333333,14.166666666666666,-2.9628333333333,0.5311443209648132,0.376,47,60,2088.7207701416014,4363.48388671875,125,1787.9628333333333,0.9904195435829809,0.007923356348663847,0.0016571000683552426,1782.0371666666667,60
v27,seed0,64,2118.95,19.166666666666668,-3.7781666666666203,0.5479595065116882,0.5454545454545454,54,60,2244.9500861890388,4546.86083984375,99,2141.894833333333,0.9892876004105089,0.008948463000323158,0.0017639365891680278,2134.3385,60
v27,seed0,65,2161.4666666666667,20.0,-3.8353333333332875,0.5560672283172607,0.5625,54,60,2328.161312421163,4403.81005859375,96,2185.302,0.9890928881530637,0.009152053125837984,0.0017550587210981765,2177.6313333333333,60
v27,seed0,66,2002.3666666666666,15.833333333333334,-3.535999999999959,0.5030864477157593,0.5104166666666666,49,60,2466.4010845820108,4404.80078125,96,2021.7359999999999,0.9904194546996574,0.00783155334491414,0.001748991955428384,2014.6639999999998,60
v27,seed0,67,2281.1666666666665,19.166666666666668,-4.1506666666666145,0.4937284588813782,0.46153846153846156,48,60,2156.2921365591196,4876.79541015625,104,2304.4839999999995,0.9898817551637014,0.00831711856826373,0.001801126268035107,2296.1826666666666,60
v27,seed0,68,2097.1833333333334,19.166666666666668,-3.96899999999995,0.5936195850372314,0.4666666666666667,49,60,2144.785844058082,4556.140625,105,2120.319,0.9890885915436939,0.009039520311173303,0.001871888145132855,2112.381,60
v27,seed0,69,1915.3333333333333,13.333333333333334,-3.349666666666629,0.5946657061576843,0.46078431372549017,47,60,2338.601598851821,4527.888671875,102,1932.0163333333333,0.9913649798336763,0.006901252905211809,0.0017337672611118173,1925.3169999999998,60
v27,seed0,70,1881.25,15.833333333333334,-3.3838333333332953,0.5285608768463135,0.415929203539823,47,60,2222.932640008167,4369.2890625,113,1900.4671666666666,0.989888188018332,0.008331284860397923,0.0017805271212700748,1893.6995,60
v27,seed0,71,2039.6333333333334,15.833333333333334,-3.4244999999999646,0.5415063500404358,0.34375,44,60,2007.4514454603195,4317.34814453125,128,2058.891166666667,0.9906465025227575,0.007690223548322572,0.001663273928919813,2052.0421666666666,60
v27,seed0,72,2245.2166666666667,20.0,-3.8386666666666236,0.5502294898033142,0.3037037037037037,41,60,1922.8643491391783,4505.7666015625,135,2269.0553333333332,0.9894940126331575,0.008814240757460593,0.0016917466093819178,2261.378,60
v27,seed0,73,2124.5,17.5,-3.6263333333332923,0.5471750497817993,0.36220472440944884,46,60,1949.4715853713628,4318.14794921875,127,2145.626333333333,0.9901537686198545,0.008156126594891717,0.0016901047852538285,2138.373666666667,60
v27,seed0,74,2028.7833333333333,18.333333333333332,-3.61033333333329,0.5094613432884216,0.36507936507936506,46,60,1981.0870222061399,4540.86767578125,126,2050.727,0.9892995670966118,0.008939919030340622,0.0017605138730476023,2043.5063333333333,60
v27,seed0,75,1998.65,15.0,-3.270833333333299,0.46612676978111267,0.3208955223880597,43,60,1975.1466304722117,5045.29736328125,134,2016.9208333333333,0.9909412243498237,0.007437079211091164,0.0016216964390851395,2010.3791666666668,60
