run,seed,iter,completed_eps,mean_return,mean_len,in_progress,ip_return,ip_len,clears,loss,policy_loss,value_loss,entropy,at_entrance,tau,tau_max,trail_rate,trail_n,trail_d,ent_rate,ent_n,ent_d,truncated
v27,1,107,116,1882.8,316.4,60,2290.2,412.3,50,6.6344,-0.0444,26.7223,0.3779,False,0,784,0.53,16,30,0.341,1927,5649,4666
v27,1,108,123,1950.3,318.6,60,2261.9,370.8,46,5.9435,-0.0453,23.9616,0.3273,False,0,784,0.5,15,30,0.341,1952,5721,4700
v27,1,109,99,2230.7,384.1,60,2128.6,390.3,52,6.9059,0.0111,27.586,0.3356,False,0,784,0.6,18,30,0.342,1977,5783,4739
v27,1,110,118,1863.0,302.5,60,2316.8,429.1,44,7.7106,0.0078,30.8185,0.3675,False,0,784,0.2,6,30,0.341,1999,5862,4777
v27,1,111,123,2002.1,328.1,60,2083.4,351.5,42,8.2354,-0.0024,32.9569,0.2742,False,0,784,0.3,9,30,0.341,2022,5931,4811
v27,1,112,124,2079.0,341.8,60,1906.5,317.6,41,9.4116,0.0584,37.4196,0.3408,False,0,784,0.47,14,30,0.34,2042,6004,4849
v27,1,113,106,2233.3,372.2,60,2179.7,366.5,49,8.2489,0.0738,32.7061,0.285,False,0,784,0.53,16,30,0.34,2059,6055,4892
v27,1,114,117,1974.7,316.9,60,2257.8,406.1,48,6.5186,0.0058,26.0564,0.2783,False,0,784,0.4,12,30,0.34,2079,6116,4929
v27,1,115,111,1949.0,326.2,60,2328.2,420.5,48,6.8855,-0.036,27.6915,0.2819,False,0,784,0.33,10,30,0.34,2105,6194,4963
v27,1,116,109,1995.5,358.7,60,1890.5,372.4,46,8.2482,0.1034,32.5855,0.3207,False,0,784,0.53,16,30,0.341,2129,6249,4997
v27,1,117,111,1891.5,325.0,60,2286.0,422.7,39,8.0253,0.0239,32.0114,0.2989,False,0,784,0.2,6,30,0.341,2154,6321,5036
v27,1,118,141,1786.1,281.0,60,1944.0,363.6,35,8.6606,-0.0462,34.8318,0.2364,False,0,784,0.23,7,30,0.339,2170,6397,5073
v27,1,119,118,1862.7,317.2,60,2126.5,400.1,36,9.8669,0.0932,39.1007,0.2959,False,0,784,0.27,8,30,0.339,2192,6468,5112
v27,1,120,125,1893.0,296.0,60,2334.0,407.3,46,9.4781,0.0584,37.6849,0.2913,False,0,784,0.3,9,30,0.338,2216,6549,5153
v27,1,121,123,2017.0,318.9,60,2180.0,370.3,42,8.1285,0.0528,32.3078,0.2461,False,0,784,0.33,10,30,0.339,2243,6624,5187
