run,generation,avg_fitness,best_fitness,success_rate,episodes,vanilla_ppo_clears,approx_mean_ep_len,ppo_entropy
v27_seed0,175,1225.8475036621094,3779.75048828125,0.03821656050955414,157,6,391.3375796178344,0.12251304090023041
v27_seed0,176,1167.8083299313737,3592.041748046875,0.01092896174863388,183,2,335.73770491803276,0.1292538195848465
v27_seed0,177,1213.7712291535877,3748.75048828125,0.03571428571428571,168,6,365.7142857142857,0.08790531009435654
v27_seed0,178,1120.7830720155137,3670.121826171875,0.016304347826086956,184,3,333.9130434782609,0.07524805516004562
v27_seed0,179,1231.8159662882488,3588.75048828125,0.02976190476190476,168,5,365.7142857142857,0.10719365626573563
v27_seed0,180,1204.5109944600545,3619.750732421875,0.029940119760479042,167,5,367.90419161676647,0.10417862236499786
v27_seed0,181,1238.1905756843162,3717.18115234375,0.029585798816568046,169,5,363.55029585798815,0.1359626054763794
v27_seed0,182,1183.001650303432,3587.75048828125,0.017142857142857144,175,3,351.0857142857143,0.10385783016681671
v27_seed0,183,1125.1612440303047,3620.23095703125,0.053475935828877004,187,10,328.5561497326203,0.10605021566152573
v27_seed0,184,1129.4648949167004,3845.40234375,0.03804347826086957,184,7,333.9130434782609,0.13761813938617706
v27_seed0,185,1228.8076411921804,3442.7724609375,0.036585365853658534,164,6,374.6341463414634,0.10499344766139984
v27_seed0,186,1082.037509936292,3557.75048828125,0.03317535545023697,211,7,291.18483412322274,0.07994906604290009
v27_seed0,187,1125.4569836240826,3588.75048828125,0.030303030303030304,198,6,310.3030303030303,0.06738381087779999
v27_seed0,188,1108.9567225272194,3734.652587890625,0.013157894736842105,228,3,269.4736842105263,0.07455922663211823
v27_seed0,189,1175.1601244976066,3524.75048828125,0.017341040462427744,173,3,355.1445086705202,0.08357930928468704
v27_seed0,190,1253.6623472224521,4117.75732421875,0.022598870056497175,177,4,347.1186440677966,0.11094370484352112
v27_seed0,191,1212.472893608941,3340.363037109375,0.010582010582010581,189,2,325.07936507936506,0.08862011134624481
v27_seed0,192,1168.9463988115442,3651.75048828125,0.0427807486631016,187,8,328.5561497326203,0.07413101941347122
v27_seed0,193,1283.7832304132048,3733.100830078125,0.031746031746031744,189,6,325.07936507936506,0.07408301532268524
v27_seed0,194,1233.6322998046876,3812.75048828125,0.02564102564102564,195,5,315.0769230769231,0.11891116946935654
v27_seed0,195,1290.0109372933705,3603.722412109375,0.026041666666666668,192,5,320.0,0.09009532630443573
v27_seed0,196,1230.4025269349415,3619.75048828125,0.015625,192,3,320.0,0.08833850920200348
